476,AN/0206,First Hospital & Maternity,"Near St Michael Church, Nawfia",,Njikoka,Anambra
477,AN/0213,Chidera Specialist Hospital,"Nkwo Uga, Uga",,Aguata,Anambra
478,AN/0214,Our Lady Of Lourdes Hospital,"Ihiala, Anambra State",,Ihala,Anambra
479,AN/0215,St. Mary’s Hospital & Maternity,"Agba Village, Ekwulobia, Anambra State.",,Aguata,Anambra
480,AN/0216,His Glory Hospital & Maternity,"96 Arthur Eze Avenue, near Tracy Hotel, Awka",,Awka North,Anambra
481,AN/0217,Kanayo Specialist Hospital & Maternity,"17 Enugu Road, Onitsha","Laboratory, O & G",Onitsha -South,Anambra
482,AN/0218,Fez Hospital,"K 141 Premier Road Housing Estate, Fegge, Onitsha",,Onitsha -South,Anambra
483,AN/0219,Messiah Foundation Hospital,"20 Awka Road, Ekwulobia",Primary,Aguata,Anambra
484,AN/0221,Mata Christi Hospital,73 Limka Road Nkpor,,Idemili North,Anambra
485,BA/0001,Peoples Clinic Ltd.,"Aminu Street Bauchi, Bauchi",,Bauchi,Bauchi
486,BA/0002,Mai Jama'A Clinic,"Wunti Street, Bauchi",,Bauchi,Bauchi
487,BA/0003,Under Five (5) Health Care,"Jahun Road, Bauchi",-,Bauchi,Bauchi
488,BA/0004,Urban Mat. & Child Welfare Clinic,"Kofan Ran Bauchi, Bauchi",,Bauchi,Bauchi
489,BA/0005,Reemee Medicare Nigeria Limited,"6, Rimi Road, Gra Bauchi",,Bauchi,Bauchi
490,BA/0006,Abubakar Tafawa Balewa University Teaching Hospital,"Bauchi, Bauchi State","O & G, Gen. Surg., Paediatrics, ENT, Pharm., Radiology, Physiotherapy, Dental",Bauchi,Bauchi
491,BA/0009,AMB Pharm. Ltd.,"No. 99 Gombe Road, Bauchi, Bauchi",Pharmacy,Bauchi,Bauchi
492,BA/0010,"Sahelian Pharm. Ltd.,","No. 6, Yandoka Road, P.M.B 2505, Bauchi",Pharmacy,Bauchi,Bauchi
493,BA/0011,Buya Pharmacy,"Sani Mai Alewa Street, Azare Bauchi",Pharmacy,Katagum,Bauchi
494,BA/0012,Tinma Pharmaceutical Chemist,"C1 Kobi Street, Bauchi",Pharmacy,Bauchi,Bauchi
495,BA/0013,Balewa Pharmacy,"No.1 Boni Haruna Street, Bauchi",Pharmacy,Bauchi,Bauchi
496,BA/0014,Lisa Laboratory,"No. 1, Boni Haruna Street, Bauchi.",Laboratory,Bauchi,Bauchi
497,BA/0015,Gaskiya Laboratory,"Ran Road, Bauchi",Laboratory,Bauchi,Bauchi
498,BA/0016,Nana Rich Med. Laboratory,"Auwal Shopping Complex, Johun Road, Bauchi",Laboratory,Bauchi,Bauchi
499,BA/0017,Safara Pharm. Ltd,"No. 5, Hospital Road, Bauchi",Pharmacy,Bauchi,Bauchi
500,BA/0018,Shifa'A Medical Clinic,"Sule Katagum Road, Azare",,Katagum,Bauchi
501,BA/0019,Amana Medical Centre,"Azare Bauchi, Bauch",,Katagum,Bauchi
502,BA/0020,Mainiima Consultant Clinic - Azare,"Abdulkadir Street Azare, Bauchi State",,Katagum,Bauchi
503,BA/0023,Niima Consultant Hospital - Bauchi,"Niima Close, Off Airport Rd. Bauchi",,Bauchi,Bauchi
