S/N,HCP CODE,NAME,ADDRESS,TYPE OF SERVICE,LGA,STATE,
1,AB/0001,Sancta Maria Specialist & Mat.,22 Constitutition Crescent Aba,,Aba South,Abia,
2,AB/0003,Janet Memorial Hospital,"245 Aba-Owerri Road, Aba",,Aba South,Abia,
3,AB/0004,Abia State University Teaching Hospital,Aba,,Aba South,Abia,
4,AB/0005,Life Care Clinics Ltd,"8, Ezinkwu Street, Aba",,Aba South,Abia,
5,AB/0006,New Era Specialist Hospital,"213/215 Ezikiwe Road, Aba",,Aba South,Abia,
6,AB/0007,John Okorie Memorial Hospital,"12-14 Akabuogu Street Off P.H. Road, Aba",,Aba South,Abia,
7,AB/0008,St.Anthony's Hospital,"62/80 Etche Road, Aba",,Aba South,Abia,
8,AB/0012,Ucheoma Hospital,"53 Ehi Road, Aba",O & G,Aba South,Abia,
9,AB/0013,Delta Hospital Ltd.,"78, Faulks Road",,Aba South,Abia,
10,AB/0014,"Federal Medical Centre, Umuahia","Umuahia, Abia State",,Aba North,Abia,
11,AB/0015,Obioma Hospital & Maternity,"21, School Road, Umuahia",,Aba North,Abia,
12,AB/0016,Priscillia Memorial Hospital,"32, Bunny Street",,Aba North,Abia,
13,AB/0018,"General Hospital, Ama-Achara","Ama-Achara, Umuahia",,Umuahia South,Abia,
14,AB/0019,Mendel Hospital & Diagnostic Centre Limited,"20 Tenant Road, Abia",,Aba South,Abia,
15,AB/0020,Clehansan Hospital & Maternity,"17 Osusu Rd, Aba.",,Aba South,Abia,
16,AB/0022,Alpha Inland Hospital,"36 Glass Industry Road, Aba",,Obingwa,Abia,
17,AB/0023,Todac Clinic Ltd.,"59/61 Okigwe Road,Aba",,Aba North,Abia,
18,AB/0024,Living Word Hospital,"5/7 Umuocham Street, Aba",,Aba South,Abia,
19,AB/0025,Living Word Hospital,"117 Ikot Ekpene Road, Aba",,Obingwa,Abia,
20,AB/0027,Ebemma Hospital,"3rd Avenue, Ubani Estate Ogbor Hill, Aba",,Aba North,Abia,
21,AB/0028,Horstman Hospital,"32, Okigwe Road, Aba",,Aba North,Abia,
22,AB/0030,Princess Mary Specialist Hospital,"45, New Umuahia Road Ogbor Hill, Aba",,Aba North,Abia,
23,AB/0031,Austin Grace Hospital,"16, Okigwe Road, Aba",-,Aba North,Abia,
24,AB/0034,St. Paul Hospital,"6-12 St. Paul's Road, Umunggasi, Aba",,Aba South,Abia,
25,AB/0035,Seven Days Adventist Hospital,"Umuoba Road, Aba",,Aba North,Abia,
26,AB/0036,New Lead Hospital & Mat. Ltd,"10, Oblagu Ave/By 160 Faulks Road, Aba.",,Aba South,Abia,
27,AB/0037,Chidinma Hospital,"18 Awkusu Lane Umuahia, Aba",,Umuahia North,Abia,
28,AB/0038,Hammersmith Medical Centre,"Plots 3 Amauzkwu Layout, Umauhia",,Umuahia North,Abia,
29,AB/0039,St. Vincent's Hospital,30 Azikwe Road Umuahia,,Umuahia North,Abia,
30,AB/0041,New Era Hospital & Maternity,90b Oji River Street Umuzukwu Layout,,Aba South,Abia,
31,AB/0048,Dickson Orthopaedic Hospital,"Awam Close Off 183, Aba Rd., Abayi, Aba",Orthopaedic,Aba South,Abia,
32,AB/0049,Nnenna Specialist Hospital,"1 Amos Close, Umule, Aba","Surgery, Laboratory",Osisioma,Abia,
33,AB/0053,Princess Mary Specialist Hospital,"45 New Umuahia Road, Aba","O & G, Paediatrics",Aba North,Abia,
34,AB/0056,Delta Eye Hospital,Umuahia,Ophthalmology,Umuahia North,Abia,
35,AB/0057,Restoration Specialist Clinic,No. 1 Niger Road/Crowther Str. Umuahia,Cardiology,Umuahia North,Abia,
36,AB/0058,Riza Pharmacy Ltd.,"141, Okigwe Road Aba",Pharmacy,Aba North,Abia,
37,AB/0059,Bencare Pharmacy Nig. Ltd.,"26 Faulks Road, Aba",Pharmacy,Aba South,Abia,
38,AB/0060,Banthas Pharmacy & Stores Ltd.,"93, Okigwe Road, Aba",Pharmacy,Aba North,Abia,
39,AB/0061,Scanar Pharmacy (Nig.) Ltd,"22 Faulks Road, Aba",Pharmary,Aba South,Abia,
