"original address",latitude,longitude
"42, Okigwe Rd., Aba",5.119081,7.360464
"266, Faulks Rd. Aba",5.114595,7.3418
"Plot 10-12, Ezama Ind. Est., Ezama, Aba",,
"30, Park Rd., Aba",5.111661,7.375777
"26, Faulks Rd., Aba",5.114595,7.3418
"106, Hospital Rd., Aba",5.110462,7.372958
"93, Okigwe Rd. Aba",5.119081,7.360464
"20, Umuodu Avenue, Abayi, Aba",,
"140, Ikot-Ekpene Rd., Aba",5.110143,7.407166
"40, Aba - Owerri Rd., Umungasi, Aba",,
"1, Okigwe Rd., Aba",5.119081,7.360464
"25, Immaculate Ave., Umungasi, Aba",,
"22, University Avenue, Abayi, Aba",,
"1A, Factory Rd., Aba",5.120403,7.367996
"191, Aba/Owerri Rd., Aba",5.133784,7.355409
"31, Milverton Avenue, Aba",5.114314,7.369735
"71, Cameroon Rd., Aba",5.105652,7.375557
"2, Uvule Rd Aba",,
"205, Azikiwe Rd., Aba",5.108311,7.37131
"37, Jubilee Rd., Aba",5.109108,7.371384
"99, Market Rd., Aba",5.106852,7.378287
"79, Aba-Owerri Rd., Aba",5.133784,7.355409
"Plot 6/7, Shalom Rd., Abayi, Aba",,
"81, Pound Rd., Aba",5.111039,7.374533
"38, Jubilee Rd., Aba",5.109108,7.371384
"Plot 3, Egbelu-Owo Rd., Osisioma Ind. L/out, Aba",,
"62, Aba-Owerri Rd, Aba",5.133784,7.355409
"138, Port Harcourt Rd., Aba",4.817568,7.009305
"159, Tenant Rd, St. George Str., Aba",,
"1,Ikot Ekpene Rd. Umuahia",5.511785,7.530442
"2, Item St. Umuahia",5.532335,7.495049
"8, Owerri Rd., Block 2, Umuahia",5.539912,7.496312
"23, Azikiwe School Rd., Umuahia",,
"23, Abriba Str., Umuahia",5.533917,7.496481
"31, Lagos Str., Umuahia",5.534619,7.496043
"60, Awolowo Rd., Umuahia",5.538549,7.499374
"10, Arochukwu Str., By Owerri Rd., Umuahia",,
"23, Warri St. Umuahia",5.533454,7.495899
"91, Modibo Adamawa Way, Yola",,
"135, Muhammed Mustapha Way, Jimeta, Yola",,
"6, Gimba Rd., Jimeta, Yola",,
"8, Ganye Str., Jimeta, Yola",9.274174,12.455362
"22, Mohammed Mustapha Way, Jimeta",9.279754,12.458463
"51C, Mubi Rd., Jimeta, Yola",9.25162,12.452976
"11, Murtala Mohammed Way, Jimeta, Yola",,
"116, M/Mustapha Way, Jimeta, Yola",,
"2, Kala'a Str., Jimeta, Yola",,
"39, Hospital Rd., Jimeta, Yola",,
"17, Yola Rd., Yola",9.213524,12.46447
"66, Mohammed Mustapha Way, Jimeta, Yola",,
"128, Mubi Rd., Jimeta, Yola",9.25162,12.452976
"85, Mubi Rd., Jimeta, Yola",9.25162,12.452976
"100, Hospital Rd., Jimeta, Yola",,
"14, Hospital Rd., Jimeta, Yola",,
